"","project_name","sys_sample_code","station","date_time","chemical_name","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","sample_date","order","station_type","flow_qual","flow_quant_cfs","load_kg_per_day"
"1","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",161,"mg/l",1,"mg/l",2,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"2","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","ALKALINITY, TOTAL (AS CACO3)","alk","t",148,"mg/l",1,"mg/l",2,"","a","",2017-10-11,2,"special_study","event",NA,NA
"3","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","ALUMINUM","7429-90-5","t",335,"ug/l",13.5,"ug/l",50,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"4","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","ALUMINUM","7429-90-5","t",312,"ug/l",26.9,"ug/l",100,"","a","",2017-10-11,2,"special_study","event",NA,NA
"5","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","ARSENIC","7440-38-2","t",0.997,"ug/l",0.389,"ug/l",1,"j","j","estimated value due to lab error",2017-09-19,2,"special_study","baseline",NA,NA
"6","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","ARSENIC","7440-38-2","t",0.856,"ug/l",0.389,"ug/l",1,"j","j","estimated value due to lab error",2017-10-11,2,"special_study","event",NA,NA
"7","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-09-19,2,"special_study","baseline",NA,NA
"8","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","CADMIUM","7440-43-9","t",NA,"ug/l",0.182,"ug/l",1,"u","u","analyte was analyzed for but not detected",2017-10-11,2,"special_study","event",NA,NA
"9","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","CHLORIDE (AS CL)","16887-00-6","t",91.2,"mg/l",0.2,"mg/l",2,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"10","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","CHLORIDE (AS CL)","16887-00-6","t",93,"mg/l",0.2,"mg/l",2,"","a","",2017-10-11,2,"special_study","event",NA,NA
"11","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","CHLOROPHYLL A","479-61-8","t",8.99,"ug/l",NA,"ug/l",0.4,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"12","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","CHLOROPHYLL A","479-61-8","t",6.66,"ug/l",NA,"ug/l",0.17,"","a","",2017-10-11,2,"special_study","event",NA,NA
"13","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",623,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"14","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","CONDUCTIVITY AT 25 DEGREES CELSIUS","cond","t",680,"umhos/cm",NA,"umhos/cm",NA,"","a","",2017-10-11,2,"special_study","event",NA,NA
"15","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","COPPER","7440-50-8","t",2.7,"ug/l",0.652,"ug/l",1,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"16","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","COPPER","7440-50-8","t",1.9,"ug/l",0.652,"ug/l",1,"","a","",2017-10-11,2,"special_study","event",NA,NA
"17","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","HARDNESS (AS CACO3)","hard","t",210,"mg/l",0.7,"mg/l",20,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"18","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","HARDNESS (AS CACO3)","hard","t",215,"mg/l",0.7,"mg/l",20,"","a","",2017-10-11,2,"special_study","event",NA,NA
"19","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","IRON","7439-89-6","t",810,"ug/l",55.4,"ug/l",100,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
"20","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","IRON","7439-89-6","t",772,"ug/l",55.4,"ug/l",100,"","a","",2017-10-11,2,"special_study","event",NA,NA
"21","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","LEAD","7439-92-1","t",0.965,"ug/l",0.405,"ug/l",1,"j","j","estimated value due to lab error",2017-09-19,2,"special_study","baseline",NA,NA
"22","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-10-11 10:02:00","LEAD","7439-92-1","t",0.951,"ug/l",0.405,"ug/l",1,"j","j","estimated value due to lab error",2017-10-11,2,"special_study","event",NA,NA
"23","wallkill special study 2017","13-walk-60.1","13-walk-60.1","2017-09-19 09:35:00","MAGNESIUM","7439-95-4","t",17400,"ug/l",110,"ug/l",1000,"","a","",2017-09-19,2,"special_study","baseline",NA,NA
