"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","ALKALINITY, TOTAL (AS CaCO3)",2018-07-24 14:00:00,"ALK","T",78,"mg/l",1,"mg/l",2,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Aluminum",2018-07-24 14:00:00,"7429-90-5","T",1100,"ug/l",23,"ug/l",100,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Arsenic",2018-07-24 14:00:00,"7440-38-2","T",1.7,"ug/l",0.39,"ug/l",1,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Cadmium",2018-07-24 14:00:00,"7440-43-9","T",NA,"ug/l",0.064,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Calcium",2018-07-24 14:00:00,"7440-70-2","T",31700,"ug/l",110,"ug/l",1000,"E","J","estimated value due to lab error"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","CHLORIDE (AS CL)",2018-07-24 14:00:00,"16887-00-6","T",39.3,"mg/l",0.2,"mg/l",2,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Chlorophyll A",2018-07-24 14:00:00,"479-61-8","T",13.9,"ug/l",NA,"ug/l",0.32,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Copper",2018-07-24 14:00:00,"7440-50-8","T",5.1,"ug/l",0.66,"ug/l",1,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","HARDNESS (AS CACO3)",2018-07-24 14:00:00,"HARD","T",104,"mg/l",NA,"mg/l",6.62,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Iron",2018-07-24 14:00:00,"7439-89-6","T",2040,"ug/l",13,"ug/l",100,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Lead",2018-07-24 14:00:00,"7439-92-1","T",1.9,"ug/l",0.067,"ug/l",1,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Magnesium",2018-07-24 14:00:00,"7439-95-4","T",6100,"ug/l",29,"ug/l",1000,"E","J","estimated value due to lab error"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Nickel",2018-07-24 14:00:00,"7440-02-0","T",3,"ug/l",0.26,"ug/l",1,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Nitrate+Nitrite as Nitrogen",2018-07-24 14:00:00,"NO3NO2N","T",0.298,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Nitrogen",2018-07-24 14:00:00,"KN","T",1.21,"mg/l",NA,"mg/l",0.2,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Nitrogen, ammonia (As N)",2018-07-24 14:00:00,"7664-41-7","T",0.0342,"mg/l",8e-04,"mg/l",0.005,"","R","Precision error"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-24 14:00:00,"KN","T",0.91,"mg/l",0.08,"mg/l",0.2,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","NITROGEN, NITRATE (AS N)",2018-07-24 14:00:00,"14797-55-8","T",0.298,"mg/l",NA,"mg/l",0.01,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","NITROGEN, NITRITE",2018-07-24 14:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-24 14:00:00,"7723-14-0","T",0.123,"mg/l",0.01,"mg/l",0.025,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","Silver",2018-07-24 14:00:00,"7440-22-4","T",NA,"ug/l",0.039,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",2018-07-24 14:00:00,"TDS","T",190,"mg/l",4,"mg/l",10,"","A",""
"Wallkill RAS 2018","13-DWAR-2.0","13-DWAR-2.0-04242018-WS","TURBIDITY",2018-07-24 14:00:00,"TURB","T",18.5,"ntu",0.06,"ntu",0.1,"","A",""
