"NEW_SITE","UPDATE_SITE","SITE_LOC_ID","BASIN","LOCATION","RIVMILE","FIELD_LAT","FIELD_LON","BASIN_NEW","LOCATION_NEW","DESCRIPT","COLL_DATE","ARRIVETIME","COLL_DATE_TIME","CREW","PROJECT","INFO_TYPE","habLab_ID_num","BLOOM_DESC","BLOOM_DESC_2","R_HABLAB_ID","S_HABLAB_ID","CURRENT_WEATHER","PAST_WEATHER","WATER_CHEM","qa_qc_type","SAMP_LOC","EQUIP_USED","TOX","TEMP","COND","PH","DO","PERCENT_SAT","SALINITY","PRIM_CONTACT","SEC_CONTACT","WATER_CLARITY","SUSP_PHYTOPLANKTON","PERIPHYTON","MACROPHYTE","ODOR","TRASH","DISCHARGE_PIPES","PRIM_VARIABLE","SEC_VARIABLE","NOTES","x","y"
"N","N","13-DWAR-2.0","B_13","DWAR","R_2.0",41.62444,-74.19945,NA,"","","10/2/2018","0.51875","10/2/2018 12:27","Other","WALLKILL","",NA,"","","","","Clouds","Rain","X","DUP","Waded","Depth_Integrated","N",15.4,265.9,8.09,9.1,90,0.14,"F","B",7,0,5,5,0,0,0,"Water_Clarity","Other","Swift but shallow water",-74.19945,41.62444
"N","N","13-DWAR-2.0","B_13","DWAR","R_2.0",41.62444,-74.19945,NA,"","","9/6/2018","10:28","9/6/2018 10:28","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Bottle","N",25.1,514,7.71,8.9,108,0.25,"F","C",1,0,6,7,0,0,0,"Macrophyte","","",-74.19945,41.62444
"N","N","13-DWAR-2.0","B_13","DWAR","R_2.0",41.62444,-74.19945,NA,"","","8/15/2018","12:16:00","8/15/2018 12:16","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","Not_Sampled,DUP","Waded","Depth_Integrated","N",23.7,279.5,7.78,8.1,97,0.13,"C","B",7,2,NA,6,NA,2,7,"Odor","Periphyton"," weep holes under bridge",-74.19945,41.62444
"N","N","13-DWAR-2.0","B_13","DWAR","R_2.0",41.62444,-74.19945,NA,"","","7/24/2018","2:00 PM","7/24/2018 14:00","Emily Vail, Erin Lefkowitz","WALLKILL","",NA,"","","","","Clouds","Rain","X","Not_Sampled","Waded","Depth_Integrated","N",23.9,484.4,7.81,7.2,86,NA,"D","B",7,0,4,5,0,0,0,"Water_Clarity","Other","Secondary Variable influencing user perception Macrophytes and Periphyton.",-74.19945,41.62444
"N","N","13-DWAR-2.0","B_13","DWAR","R_2.0",41.62444,-74.19945,NA,"","","7/10/2018","12:11 PM","7/10/2018 12:11","Emily Vail & Beth Roessler","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",24.1,752.9,7.95,6.9,83,0.19,"C","B",6,0,8,8,0,0,0,"Macrophyte","Periphyton","",-74.19945,41.62444
"N","N","13-GUNK-40.3","B_13","GUNK","R_40.3",41.421985,-74.560699,NA,"","","10/3/2018","0.419444444","10/3/2018 10:04","Other","WALLKILL","",NA,"","","","","Sun","Rain","X","EB_FB","Waded","Depth_Integrated","N",15.9,189.4,8.08,5.7,59,0.09,"B","A",7,0,1,0,0,0,0,"Water_Clarity","","",-74.560699,41.421985
"N","N","13-GUNK-40.3","B_13","GUNK","R_40.3",41.421985,-74.560699,NA,"","","9/5/2018","10:11","9/5/2018 10:11","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",22.3,388.9,8.89,4.1,49,0.19,"F","A",7,0,3,3,0,0,0,"Water_Clarity","","",-74.560699,41.421985
"N","N","13-GUNK-40.3","B_13","GUNK","R_40.3",41.42199,-74.5607,NA,"","","8/16/2018","8:58","8/16/2018 8:58","Other","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",21.8,234,8.9,5,54,0.11,"B","A",4,0,3,0,1,0,0,"Water_Clarity","","Some pH drifting ",-74.5607,41.42199
"N","N","13-GUNK-40.3","B_13","GUNK","R_40.3",41.421985,-74.560699,NA,"","","7/25/2018","10:20 AM","7/25/2018 10:20","Emily Vail, Megan Lung","WALLKILL","",NA,"","","","","Clouds","Rain","X","DUP","Waded","Depth_Integrated","N",22,432.2,8.48,5,59,NA,"D","B",7,0,0,0,0,0,0,"Water_Clarity","Other","Secondary Variable influencing user perception slow moving water.",-74.560699,41.421985
"N","N","13-GUNK-40.3","B_13","GUNK","R_40.3",41.421985,-74.560699,NA,"","","7/11/2018","10:10 AM","7/11/2018 10:10","Emily Vail & Alex Curtze","WALLKILL","",NA,"","","","","Sun","Sun","X","Not_Sampled","Waded","Depth_Integrated","N",22.8,385.4,7.49,2.4,28,0.18,"C","C",7,5,3,0,0,0,0,"Suspended_Phytoplankton","Water_Clarity","Lots of duckweed, algae downstream",-74.560699,41.421985
