"NEW_SITE","UPDATE_SITE","SITE_LOC_ID","BASIN","LOCATION","RIVMILE","FIELD_LAT","FIELD_LON","BASIN_NEW","LOCATION_NEW","DESCRIPT","COLL_DATE","ARRIVETIME","COLL_DATE_TIME","CREW","SAMP","WATER_CHEM","qa_qc_type","INFO_TYPE","habLab_ID_num","BLOOM_DESC","BLOOM_DESC_2","R_HABLAB_ID","S_HABLAB_ID","PROJECT","LANDUSE","LGS_HAB_BNK","LGS_HAB_MAC","LGS_HAB_SNG","LGS_HAB_SUB","BOTTOM_TYPE","DOM_SUBSTRATE","WTRCLR_DRIVER","W_DEPTH","W_WIDTH","CUR_SPD","CANOPY","EMBEDD","SECCHI","MACRO","ALGAE_D","THICKNESS_D","ALGAE_S","ALGAE_FIL","ROCK","RUBBLE","GRAVEL","SAND","SILT","CLAY","TEMP","COND","PH","DO","PERCENT_SAT","SALINITY","MICROTOX","ORG_FOR_TOXICS","EPHEM","PLECOP","TRICH","COLEOP","MEGALOP","ODONTA","CHIR","SIMUL","DECAPOD","GAMMAR","MOLLUSK","OLIGO","OTHERS","FIELD_WQA","HABITAT","NOTES","x","y"
"N","N","13-DWAR-2.0","B_13","DWAR","R_2.0",41.62444,-74.19945,NA,"","","8/27/2018","15:44:00","8/27/2018 15:44","Lojpersberger,Lemley","Kick_Sample","N","","R,S",189,"no","no","13-DWAR-2-082718-R189","13-DWAR-2-082718-S189","RAS","Residential",NA,NA,NA,NA,"","","",0.2,5,30,50,10,NA,0,100,2,"N","X",70,20,10,0,0,0,24.4,397,7.84,7.88,94.9,0.19,"N","N","X","X","X","X","X","X","X","X","X","","","X","","Good","Adequate","Kick 1 taken at possible manmade riffle 40m upstreams",-74.19945,41.62444
"N","N","13-GUNK-0.4","B_13","GUNK","R_0.4",41.68722,-74.17278,NA,"","","8/27/2018","13:58:00","8/27/2018 13:58","Lemley,Lojpersberger","Kick_Sample","N","","S,R",182,"no","no","13-GUNK-0.4-082718-R182","13-GUNK-0.4-082718-S182","RAS","Residential",NA,NA,NA,NA,"","","",0.35,28,1.1,20,30,NA,0,20,1,"N","X",35,45,15,5,0,0,25.1,249.1,8.45,9.3,113.2,0.12,"N","N","X","X","X","X","X","X","X","X","X","N","N","X","","Very_good","Adequate","Nice stream but tough kicking in bouldery riffle   Bright green filamentous algae on rocks. See extra photo",-74.17278,41.68722
"N","N","13-GUNK-37.7","B_13","GUNK","R_37.7",41.441342,-74.529772,NA,"","","8/27/2018","14:33:00","8/27/2018 14:33","Heitzman,Stoll","Kick_Sample","N","","R,S",193,"no","no","13-GUNK-37.7-082718-R193","13-GUNK-37.7-082718-S193","RAS","Residential",NA,NA,NA,NA,"","","",0.2,6,68,70,20,NA,0,100,1,"X","X",40,35,20,5,0,0,27.1,242,7.6,6.2,80,0.11,"N","N","","","X","X","","X","X","","X","X","X","","Leeches -lots
Sowbugs 
Red midges
Forgot to take photos ","Poor","Impoundment","
Kicks taken at bridge, 20 m below dam for water supply- stagnant below bridge on downstream side",-74.529772,41.441342
"N","N","13-GUNK-40.3","B_13","GUNK","R_40.3",41.421985,-74.560699,NA,"","","8/27/2018","16:13:00","8/27/2018 16:13","Heitzman,Stoll","Kick_Sample","N","","R,S",195,"no","no","13-GUNK-40.3-082718-R195","13-GUNK-40.3-082718-S195","RAS","Forest",NA,NA,NA,NA,"","","",0.4,8,5,100,20,NA,20,60,0,"","",30,15,25,5,20,5,23.2,299,7.2,5.3,65,0.14,"N","N","X","","","","X","X","","","X","","X","X","","Poor","Other","Slow moving, silty bottom ",-74.560699,41.421985
"N","N","13-GUNK_T35-0.2","B_13","GUNK_T35","R_0.2",41.439605,-74.538899,NA,"","","8/27/2018","15:13:00","8/27/2018 15:13","Heitzman,Stoll","Kick_Sample","N","","S,R",192,"no","no","13-GUNK_T35-0.2-082718-R192","13-GUNK_T35-0.2-082718-S192","RAS","Forest",NA,NA,NA,NA,"","","",0.2,0.3,35,100,30,NA,10,80,1,"N","X",40,20,30,8,2,0,21.2,300,7.3,6.8,78,0.14,"N","N","","","X","","","","X","","X","X","X","X","Sow bugs 
Leeches","Poor","Adequate","Rather slow flow above the lake Kicked riffle area 25 m below bridge 
Send report to:
Alan Lewis
193 guymard turnpike
Middletown, ny 10940
Farmbook1@yahoo.com
",-74.538899,41.439605
"N","N","13-LGUN-6.0","B_13","LGUN","R_6.0",41.45587,-74.493797,NA,"","","8/27/2018","13:50:00","8/27/2018 13:50","Heitzman,Stoll","Kick_Sample","N","","R,S",194,"no","no","13-LGUN-6-082718-R194","13-LGUN-6-082718-S194","RAS","Forest",NA,NA,NA,NA,"","","",0.2,4,35,NA,90,NA,10,20,0,"N","N",0,5,35,15,30,15,25.1,230,7.5,6.7,82,0.11,"N","N","","","","","X","","X","","","","","X","","","Sand","Substrate was all silt/sand/gravel
Not very productive",-74.493797,41.45587
"N","N","13-MASO-0.2","B_13","MASO","R_0.2",41.43725915,-74.37250706,NA,"","","8/27/2018","17:25:00","8/27/2018 17:25","Lojpersberger,Lemley","Kick_Sample","N","","S,R",177,"no","no","13-MASO-0.2-082718-R177","13-MASO-0.2-082718-S177","RAS","Recreational",NA,NA,NA,NA,"","","",0.1,4,60,50,20,NA,0,70,1,"N","X",70,10,10,10,0,0,24,620,7.97,7.6,90.8,0.3,"N","N","X","X","X","X","X","","X","","X","","","X","","Good","Bedrock","Big snapping turtle. Mostly bedrock substrate. ",-74.37250706,41.43725915
"N","N","13-MONH-0.4","B_13","MONH","R_0.4",41.42361,-74.38111,NA,"","","8/27/2018","17:55:00","8/27/2018 17:55","Heitzman,Stoll","Kick_Sample","N","","S,R",172,"no","no","13-MONH-0.4-082718-R172","13-MONH-0.4-082718-S172","RAS","Residential",NA,NA,NA,NA,"","","",0.1,10,92,80,20,NA,0,40,0,"N","X",25,40,30,5,0,0,23.6,896,8.2,7.4,88,0.44,"N","N","X","","X","X","X","","","","X","","","","","Good","Adequate","",-74.38111,41.42361
"N","N","13-MONH-4.1","B_13","MONH","R_4.1",41.42833,-74.42389,NA,"","","8/27/2018","17:13:00","8/27/2018 17:13","Heitzman,Stoll","Kick_Sample","N","","S,R",190,"no","no","13-MONH-4.1-082718-R190","13-MONH-4.1-082718-S190","RAS","Commercial",NA,NA,NA,NA,"","","",0.1,5,71,80,30,NA,0,100,2,"N","X",10,40,40,8,2,0,23.2,855,8,7.3,87,0.42,"N","N","X","","","X","","","X","","X","","","X","Tipulidae 
Leeches 
Pretty gross!","Poor","Adequate","",-74.42389,41.42833
"N","N","13-PKIL-0.4","B_13","PKIL","R_0.4",41.72429918,-74.10104546,NA,"","","8/27/2018","12:27:00","8/27/2018 12:27","Lemley,Lojpersberger","Kick_Sample","N","","S,R",188,"no","no","13-PKIL-0.4-082718-R188","13-PKIL-0.4-082718-S188","RAS","Residential",NA,NA,NA,NA,"","","",0.18,5,60,90,10,NA,0,40,1,"N","X",5,75,10,10,0,0,21.8,421.7,8.18,9.38,107.2,0.2,"N","N","X","X","X","X","X","N","X","X","N","N","N","N","Atherix ","Very_good","Adequate","Ok habitat in residential area.  Nice enough benthics.   Just upstream at pooled area is surface foam see photos.  ",-74.10104546,41.72429918
