event_id,location,rivmile,station,order,method,basin,date,year,richness,rich_score,ept_rich,ept_score,hbi,hbi_score,pma,pma_score,nbi_p,nbi_p_score,shannon,shannon_score,bap,mean_bap,median_bap
0.4_gunk_13_8/3/2017_1,gunk,0.4,gunk-0.4,4,kick,13,2017-08-03,2017,23,6.47,14,9.5,4.33,7.67,62,7.1,6.38,4.05,,,6.96,7.275,7.26
0.4_gunk _13_8/3/2017_2,gunk,0.4,gunk-0.4,4,kick,13,2017-08-03,2017,24,6.76,15,10,4.46,7.54,58,6.45,6.2,4.5,,,7.05,7.275,7.26
0.4_gunk _13_8/3/2017_3,gunk,0.4,gunk-0.4,4,kick,13,2017-08-03,2017,25,7.06,15,10,4.08,7.92,65,7.6,6.09,4.78,,,7.47,7.275,7.26
0.4_gunk _13_8/3/2017_4,gunk,0.4,gunk-0.4,4,kick,13,2017-08-03,2017,23,6.47,14,9.5,3.99,8.01,67,7.79,5.46,6.35,,,7.62,7.275,7.26
0.6_wchee_13_8/2/2017_1,wchee,0.6,wchee-0.6,10,kick,13,2017-08-02,2017,17,4.56,3,3.61,7.44,3.82,39,3.31,7.52,1.2,,,3.3,3.4625,3.39
0.6_wchee _13_8/2/2017_2,wchee,0.6,wchee-0.6,10,kick,13,2017-08-02,2017,17,4.56,3,3.61,6.41,5.11,48,4.76,7.24,1.9,,,3.99,3.4625,3.39
0.6_wchee _13_8/2/2017_3,wchee,0.6,wchee-0.6,10,kick,13,2017-08-02,2017,17,4.56,1,1.25,6.66,4.8,46,4.44,7.86,0.35,,,3.08,3.4625,3.39
0.6_wchee _13_8/2/2017_4,wchee,0.6,wchee-0.6,10,kick,13,2017-08-02,2017,18,4.85,1,1.25,6.25,5.31,46,4.44,7.39,1.53,,,3.48,3.4625,3.39
19_walk _13_8/3/2017_1,walk,19,walk-19.0,3,kick,13,2017-08-03,2017,18,4.85,7,5.91,5.44,6.32,42,3.79,7.17,2.08,,,4.59,5.1,4.98
19_walk _13_8/3/2017_2,walk,19,walk-19.0,3,kick,13,2017-08-03,2017,16,4.26,7,5.91,5.14,6.7,72,8.27,6.31,4.23,,,5.87,5.1,4.98
19_walk _13_8/3/2017_3,walk,19,walk-19.0,3,kick,13,2017-08-03,2017,15,3.97,7,5.91,5.22,6.6,64,7.42,6.82,2.95,,,5.37,5.1,4.98
