project_name,sys_sample_code,station,date_time,fraction,cas_rn,chemical_name,result_value,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,method_detection_limit,quantitation_limit,result_unit,detection_limit_unit
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,14797-55-8,"nitrogen, nitrate (as n)",0.321,,,,,0.01,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7664-41-7,"nitrogen, ammonia (as n)",0.016,,,,8e-04,0.005,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,cond,conductivity at 25 degrees celsius,984,,,,,,umhos/cm,umhos/cm
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,turb,turbidity,3.09,,,,0.06,0.1,ntu,ntu
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7429-90-5,aluminum,,u,,u,80.1,100,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7439-89-6,iron,195,,,,55.4,100,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7439-95-4,magnesium,9910,,,,110,1000,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7439-92-1,lead,0.714,j,,j,0.405,1,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7440-02-0,nickel,3.4,,,,0.45,1,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7440-22-4,silver,,u,,u,0.131,1,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7440-38-2,arsenic,,u,,u,0.389,1,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7440-43-9,cadmium,,u,,u,0.182,1,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7440-50-8,copper,2.7,,,,0.652,1,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7440-66-6,zinc,3.1,j,,j,3,5,ug/l,ug/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,16887-00-6,chloride (as cl),202,,,,0.5,8,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,14797-65-0,"nitrogen, nitrite",,u,,u,0.002,0.01,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,no3no2n,nitrate+nitrite as nitrogen,0.321,,,,0.0025,0.0025,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,7723-14-0,"phosphorus, total (as p)",0.0733,,,,0.002,0.003,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,alk,"alkalinity, total (as caco3)",139,,,,1,2,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,hard,hardness (as caco3),233,,,,0.5,13,mg/l,mg/l
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,ph,ph,8.46,h,,h,,,ph units,ph units
wallkill ras 2017,13-monh-0.4-7192017-ws,13-monh-0.4,2017-07-19 14:50:00,t,temp,temperature of ph analysis,21.1,h,,h,,,deg c,deg c
