order,station,station_type
1,01368000_usgs,usgs_gage
2,13-walk-60.1,special_study
3,13-rutg-9.3,peers_2018
4,13-rutg-1.5,special_study
5,13-poch-2.6,peers_2018
6,13-poch-0.1,special_study
7,13-qker-0.9,special_study
8,13-walk-46.6,special_study
9,13-walk-46.4,special_study
10,13-riog_t1-0.8,peers_2018
11,13-riog-0.7,special_study
12,13-wchee-0.6,special_study
13,13-monh-4.1,special_study
14,13-monh-0.4,special_study
15,13-maso-2.8,peers_2018
16,13-maso-0.2,special_study
17,01370520_usgs,usgs_gage
18,13-walk-44.4,special_study
19,13-walk-35.6,special_study
20,13-walk-29.9,special_study
21,13-tinw_t3-2.1,peers_2018
22,13-tinw-4.5,peers_2018
23,13-tinw-0.5,special_study
24,13-walk-26.9,special_study
25,13-dwar-2.0,special_study
26,13-walk-22.8,special_study
27,13-walk-19.0,special_study
28,13-gunk-40.3,special_study
29,13-gunk_t35-0.2,special_study
30,13-gunk-37.7,special_study
31,13-lgun-6.0,special_study
32,13-gunk-0.4,special_study
33,01371500_usgs,usgs_gage
34,13-walk-19,special_study
35,13-pkil-5.7,peers_2018
36,13-pkil-0.4,special_study
37,13-walk_t15-0.1,peers_2018
38,13-walk-9.8,special_study
39,13-walk_t13-0.7,peers_2018
40,13-wklei-0.6,special_study
41,13-walk-2.1,special_study
42,13-swak-1.1,special_study
43,13-walk-0.8,special_study
44,13-walk-0.7,special_study
